datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
01/06/2023,30,11.1,21.8,30.3,11.1,21.7,11,53.8,0.4,100,4.17,rain,0,0,28.8,22.3,146.5,1015.4,35.7,10.6,337.8,29.3,10,10,2024-07-05T06:03:30,2024-07-05T19:19:05,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76679399999,MMCB,76680099999,remote,MMSM,76675099999,MMTO,MMMX"
02/06/2023,30,10.1,23,28.3,10.1,22.7,8.9,45.3,4.122,100,4.17,rain,0,0,15.1,17.3,49.5,1015.7,40.7,11.5,352.6,30.4,10,10,2024-07-06T06:03:51,2024-07-06T19:19:04,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
03/06/2023,30.1,12.1,23.4,28.4,12.1,22.9,7.3,39.4,0,0,0,,0,0,24.5,27.7,16.9,1014.3,39.7,13.6,313.2,26.9,10,10,2024-07-07T06:04:11,2024-07-07T19:19:02,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX,MMTO"
04/06/2023,29.8,13.1,23.4,28.4,13.1,23.1,7.5,39.1,0.1,100,4.17,rain,0,0,30.2,21.6,249.8,1009.7,24.4,13.3,344,29.8,10,10,2024-07-08T06:04:32,2024-07-08T19:18:59,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,76675099999,MMTO,MMMX"
05/06/2023,28.9,8.1,20.3,27.3,8.1,20.1,8.9,53.3,0,0,0,rain,0,0,36,22.2,22.5,1015.2,33.1,10.4,341.2,29.4,10,10,2024-07-09T06:04:53,2024-07-09T19:18:55,0.12,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
06/06/2023,27,14,20.2,26.3,14,20.1,10.7,59,4.482,100,12.5,rain,0,0,28.8,33,333,1012.6,65.2,10.1,237.6,20.5,10,10,2024-07-10T06:05:15,2024-07-10T19:18:50,0.15,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMMX,76675099999,MMTO"
07/06/2023,25.8,9.7,18.6,25.8,9.7,18.6,11.7,66.6,9.2,100,20.83,rain,0,0,36,29.9,241,1015.3,63.6,9.9,221.1,19.1,10,10,2024-07-11T06:05:36,2024-07-11T19:18:44,0.19,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,76675099999,MMMX"
08/06/2023,28.1,10.1,20.9,27.4,10.1,20.8,11.1,58.5,0.9,100,4.17,rain,0,0,32.4,14.2,273.4,1014.5,50.6,12.6,312.4,26.9,10,10,2024-07-12T06:05:58,2024-07-12T19:18:36,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"76726099999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,76675099999,MMTO"
09/06/2023,31.7,10.1,22.9,30,10.1,22.6,8.8,44.6,0,0,0,,0,0,37,17.8,356.8,1014.4,9.9,14.1,358.6,30.9,10,10,2024-07-13T06:06:19,2024-07-13T19:18:28,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX,MMTO"
10/06/2023,30,16.5,23.4,28.2,16.5,23.1,7.8,39.8,0.107,100,8.33,rain,0,0,25.2,36.1,81.7,1016.1,34.1,14.4,352.6,30.3,10,10,2024-07-14T06:06:41,2024-07-14T19:18:19,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX,MMTO"
11/06/2023,31.4,12.1,22.4,29.5,12.1,22.1,11.4,54,18.4,100,12.5,rain,0,0,40.7,27.1,163,1011.5,36.3,10.7,333.5,29,10,10,2024-07-15T06:07:03,2024-07-15T19:18:08,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
12/06/2023,30.9,10,23.3,28.9,10,22.9,8.6,43.8,0,0,0,,0,0,28.8,28.2,29.8,1012.3,18.9,12.6,356,30.8,10,10,2024-07-16T06:07:25,2024-07-16T19:17:56,0.35,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,76675099999,MMTO,MMMX"
13/06/2023,31.9,9,22.7,29.6,8.5,22.1,4.1,33.3,0,0,0,,0,0,21.6,33.1,43.8,1014.1,1.4,14.1,370.9,32,10,10,2024-07-17T06:07:47,2024-07-17T19:17:44,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
14/06/2023,32.6,17.2,24.9,30.3,17.2,24.3,5,32.2,0,0,0,,0,0,44.6,35.3,28.9,1012.3,12.3,12.8,363.2,31.3,10,10,2024-07-18T06:08:09,2024-07-18T19:17:30,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,76675099999,MMMX,MMTO"
15/06/2023,32.3,11.1,23.6,30.6,11.1,23.1,8.4,41.3,0,0,0,,0,0,24.5,20.4,125.8,1009.5,20.9,11.9,357.5,30.8,10,10,2024-07-19T06:08:31,2024-07-19T19:17:15,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"76726099999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,76675099999,MMTO"
